"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000166862",23.4373416412931,-7.32356055630353,1.26489235203823,-5.78986863546326,7.0441494617304e-09,4.58743036105191e-08
"ENSG00000100028",164.453198465434,1.33292614318063,0.230268517374893,5.78857309013084,7.0986859164364e-09,4.58743036105191e-08
"ENSG00000161179",63.2845426994289,1.86358844021373,0.327372853875457,5.69255641740748,1.25151225007219e-08,8.00169002439775e-08
"ENSG00000100162",22.98162205519,4.93241192128856,0.868283365961331,5.68064771784218,1.3418560334539e-08,8.48900501163993e-08
"ENSG00000183628",61.1550638960816,-2.04770012151667,0.360589396257561,-5.6787585624233,1.35675825085173e-08,8.49387196626969e-08
"ENSG00000272872",24.8615308097902,4.30020211763027,0.759536128742128,5.66161628776219,1.49953834863664e-08,9.29095409825379e-08
"ENSG00000100342",46.2736214843592,2.5291501133032,0.446941803878385,5.65879067779346,1.52443347965331e-08,9.34882164562895e-08
"ENSG00000099889",103.782867399352,-1.69902509224203,0.302390569904699,-5.61864443318286,1.92461469495743e-08,1.16837720370648e-07
"ENSG00000214076",30.1318904513068,-2.71703070735227,0.489564669777007,-5.54989131178494,2.85847252136772e-08,1.717941985342e-07
"ENSG00000198792",195.901481334157,-1.00358840607822,0.181019945197348,-5.54407639989121,2.95509795723515e-08,1.758429576533e-07
"ENSG00000185340",55.2823003384762,-1.82544704766962,0.330328188592812,-5.5261618920443,3.27312123080282e-08,1.92857437226715e-07
"ENSG00000100060",26.4308451243853,3.3080775941888,0.601279967314554,5.5017259413504,3.76091245576012e-08,2.19447416107945e-07
"ENSG00000185666",42.1987435261358,-2.44981310031594,0.447408771336143,-5.47555894579315,4.36132748078609e-08,2.52034405380043e-07
"ENSG00000100029",142.765923310594,1.26786040542681,0.232182154471985,5.46062813617223,4.74452906086037e-08,2.71567806245437e-07
"ENSG00000188677",138.826501400941,1.16163859523758,0.216802423673348,5.3580517023546,8.41241695789152e-08,4.76968169027623e-07
"ENSG00000244509",26.2367830838523,3.13161999456362,0.589899269112134,5.30873686159514,1.10387564667382e-07,6.2002734920651e-07
"ENSG00000167037",130.304268225139,-3.99743112124369,0.755842303950839,-5.28871048940877,1.23181680186996e-07,6.85483238818376e-07
"ENSG00000196419",706.747825406048,0.916672863972391,0.174024299837356,5.26749922182775,1.38294747321077e-07,7.62524248990528e-07
"ENSG00000183307",22.4345733889325,-2.91376740969769,0.55600361107773,-5.24055483030009,1.60094508515353e-07,8.74698178342974e-07
"ENSG00000242114",19.4549380786194,4.02672153053115,0.810300601929506,4.96941693112733,6.71545325240193e-07,3.63602468891312e-06
"ENSG00000100003",69.1308365785281,-1.41821233010087,0.288536431952612,-4.91519327560616,8.86949135904235e-07,4.75943241677183e-06
"ENSG00000100314",16.418620289278,-3.59692095838116,0.737343606035646,-4.87821543299213,1.07049966773035e-06,5.69354248058357e-06
"ENSG00000138944",165.512877595419,-0.922453350429885,0.189740566037331,-4.86165594261163,1.16407822892296e-06,6.13693873318156e-06
"ENSG00000185133",37.8987526860715,-2.70763321877899,0.561208987461236,-4.82464336686342,1.40254000805162e-06,7.32979604207845e-06
"ENSG00000205704",12.6464567651395,-6.38162400640539,1.33968123928896,-4.76353913098946,1.90226700537512e-06,9.85571095026247e-06
"ENSG00000183473",28.1566035876825,-2.1475167834051,0.467231073932533,-4.59626275566422,4.30136219108662e-06,2.20061990901631e-05
"ENSG00000228315",53.9881121987509,-1.67778330127554,0.365106298142599,-4.59532829154387,4.32068467993219e-06,2.20061990901631e-05
"ENSG00000205593",63.0333656104044,-1.66403986514702,0.363633495110515,-4.57614572783315,4.73620687586903e-06,2.39198347260276e-05
"ENSG00000100379",43.3233995347395,-1.85300434956202,0.406576771014271,-4.55757554702252,5.17474798879683e-06,2.59168628438908e-05
"ENSG00000100181",69.3458107647987,1.35461769343097,0.298769513625405,4.53398901713038,5.78800399235976e-06,2.87486809868448e-05
"ENSG00000197182",83.1159543048386,-1.31246400860193,0.289863671129848,-4.5278665087147,5.95822002243862e-06,2.93515592908657e-05
"ENSG00000133424",136.005659606909,-1.13357733296507,0.250474892985041,-4.52571241554647,6.01923878427605e-06,2.94110773117878e-05
"ENSG00000179750",13.5303336209127,5.87539251986639,1.31096243208742,4.48173980890599,7.4036975909579e-06,3.58840504206911e-05
"ENSG00000100031",39.0129588097972,2.01838359243517,0.453017337739471,4.45542239620847,8.37281792390343e-06,4.02565085781277e-05
"ENSG00000237037",62.6410110062921,-1.41244572127865,0.317146742250609,-4.45360312155605,8.44411231965349e-06,4.02770754294583e-05
"ENSG00000242247",107.496362588185,1.19499402473715,0.270498988184484,4.41773935184611,9.97385941924769e-06,4.7199130007621e-05
"ENSG00000100368",19.0316480783748,3.13188763359174,0.716630167029604,4.3702983459003,1.24076892772392e-05,5.8257978559537e-05
"ENSG00000100304",139.971787716298,1.16356445529261,0.268619565586133,4.33164446809261,1.47999788648412e-05,6.89518395175937e-05
"ENSG00000128309",80.2149353437286,1.21028939937866,0.279612558764455,4.3284514999135,1.50161390911301e-05,6.9188708678611e-05
"ENSG00000100030",783.298784058336,-0.716479015882819,0.165564148076923,-4.32750099707538,1.50810662843562e-05,6.9188708678611e-05
"ENSG00000198951",76.844011071734,1.23373546199117,0.286934152349803,4.29971633522075,1.71016864365431e-05,7.78644965785029e-05
"ENSG00000166897",65.5108635400947,-1.87289988062012,0.438969674659076,-4.26658147188574,1.98491028489891e-05,8.9694066257462e-05
"ENSG00000219016",9.85763511746308,-5.11824327688903,1.20483936689005,-4.24807108527697,2.15618984384328e-05,9.67067235932697e-05
"ENSG00000185651",291.53477473228,0.746718827685069,0.177474503956567,4.20747099463826,2.58244537480749e-05,0.00011496664224143
"ENSG00000128165",14.022591560004,3.44580734585841,0.825430094887818,4.17455986545623,2.9856270395476e-05,0.000131938371380008
"ENSG00000100243",223.348811176416,0.701207811467278,0.171313065831595,4.09313678477147,4.25576494499412e-05,0.000186694505981129
"ENSG00000100284",91.0602510957226,-1.0748487247215,0.263029552813778,-4.08641809721846,4.38084034600144e-05,0.000190788771590353
"ENSG00000100146",113.273793755624,-0.915316039710138,0.224160940547028,-4.08329853308279,4.44009237578245e-05,0.000191978094809011
"ENSG00000100292",38.827516258163,1.69269601510117,0.417366718741947,4.05565642656751,4.99937010160371e-05,0.000214615816504559
"ENSG00000184792",108.52206119161,-1.12355966732494,0.279380204210213,-4.02161516955418,5.78004350514238e-05,0.00024636923025465
"ENSG00000099917",152.77586251282,0.88521636187192,0.222335069692877,3.98145179298397,6.84956142516747e-05,0.000289900451868003
"ENSG00000099991",343.435802900428,-0.661796532683561,0.168391950069165,-3.93009601950531,8.49119459260384e-05,0.000356867688822022
"ENSG00000100225",271.278236007433,0.663205825383918,0.171284519966846,3.87195425197962,0.000107966219560141,0.000450609013580867
"ENSG00000198911",554.720512822203,-0.677293149005605,0.176369240056425,-3.84019996224354,0.000122934136375604,0.000509540799736123
"ENSG00000069998",71.0496822938834,1.16887270711759,0.305258498907031,3.82912420555924,0.000128600094226683,0.00052937436048107
"ENSG00000100281",72.7391929955613,1.22115617285907,0.31908267537857,3.82708390986834,0.000129670321146115,0.000530148727951122
"ENSG00000159873",125.069684021946,1.02358319333055,0.269047851643815,3.80446521716012,0.000142110878347742,0.00057708539112833
"ENSG00000188511",17.6063686609604,2.27785344037701,0.601585307628304,3.78641800504942,0.000152834495796748,0.000616466657542588
"ENSG00000182944",534.148846491192,0.49564535077541,0.131064015730254,3.78170429170665,0.000155758321299844,0.000624071674008041
"ENSG00000100138",233.316829531331,0.704460237552688,0.18660339373614,3.77517377068075,0.000159896159559593,0.000636407893346461
"ENSG00000100242",393.62313557211,-0.684281805696994,0.182173539684389,-3.7562085409467,0.000172506962132283,0.000682083448957252
"ENSG00000133519",15.6359129788805,-2.73779541268048,0.734299692161677,-3.72844417872598,0.000192665573427191,0.00075681052045583
"ENSG00000273164",4.54673315134952,-5.88393757589421,1.59680654645322,-3.68481553946747,0.000228868331750583,0.000893180957026627
"ENSG00000186951",127.925725965962,0.810783989482584,0.222620399075794,3.64200222822592,0.000270525730986239,0.00104894170530793
"ENSG00000100151",67.7138106992402,-1.16766384946013,0.323001105168497,-3.61504598831327,0.000300294309988627,0.00115690307886644
"ENSG00000099977",71.7493646439791,1.07577179416654,0.298820816727201,3.60005640152115,0.000318148162922873,0.00121787927335444
"ENSG00000185608",59.8072257099814,1.12612883580173,0.314141897229197,3.58477759806776,0.000337365565371212,0.00128327028346898
"ENSG00000070413",284.509676201022,-0.554903799131938,0.155554622811859,-3.56726009874412,0.000360733378766853,0.00136352679647094
"ENSG00000100426",107.70222984565,0.856760958695427,0.240364290573672,3.56442696479837,0.000364651966427175,0.00136385788520593
"ENSG00000128228",21.8378879833629,2.0538550159136,0.576291260083475,3.56391838324271,0.000365359599863819,0.00136385788520593
"ENSG00000253352",418.658782686375,0.533588854170653,0.15080341542618,3.53830748900944,0.000402700807568233,0.00149397027992906
"ENSG00000169548",4.78661857249307,5.43435260579573,1.54081899868435,3.52692471369833,0.00042041628898602,0.00155012386307115
"ENSG00000100330",215.07159147801,-0.821596308675058,0.234643320897489,-3.50146897654076,0.000462700837937994,0.00169562929024838
"ENSG00000100335",162.457299680641,0.658995201014762,0.188381171883336,3.49820098487803,0.000468408001275327,0.00170614065919074
"ENSG00000188636",197.163562005202,-0.646654285322964,0.189203217993455,-3.41777635803919,0.000631349616196393,0.00228578987550622
"ENSG00000273253",7.72617537041855,-3.39964849302845,1.00882698577741,-3.36990241236327,0.000751948085058885,0.00270611256958317
"ENSG00000239713",26.0022434087063,1.63379852369817,0.485968664371441,3.36194212400782,0.000773963437880326,0.00276876206051236
"ENSG00000128311",38.6675992575753,1.28333205568059,0.385054170966104,3.33286106851069,0.000859578541777159,0.00305684440004777
"ENSG00000271127",6.23478744545785,4.81777163328085,1.45417960451403,3.31305130282783,0.000922840504430233,0.0032534050615341
"ENSG00000213923",323.255885650273,0.595532743613339,0.179800150451218,3.31219268793056,0.000925677646459785,0.0032534050615341
"ENSG00000128242",12.7497534111704,-2.31430550574295,0.700508205546024,-3.30375217223761,0.000954001265422838,0.00333345790999492
"ENSG00000133460",65.5107715535812,-1.03788004855463,0.314931177539378,-3.29557732792224,0.000982196681092323,0.00341213991523981
"ENSG00000099968",222.474375965814,-0.587522291457639,0.179052921289078,-3.28127732978505,0.00103338082525283,0.00356932112630433
"ENSG00000093000",237.681685918406,0.730835854452583,0.22457505948955,3.25430551421757,0.00113669962298247,0.00390375127664267
"ENSG00000100354",518.870446633379,-0.606244823934977,0.190390088163895,-3.1842247134898,0.00145142290979135,0.00495627936809432
"ENSG00000070371",58.4503388456287,1.15045185541846,0.363763426940262,3.16263750068362,0.00156346881830762,0.00530872745651343
"ENSG00000015475",98.5598245198695,0.77284642609848,0.246036094112025,3.14119125036422,0.00168262115859824,0.00568120964223338
"ENSG00000100014",305.745400944355,-0.637952128894143,0.204939184572839,-3.11288507477888,0.001852681466537,0.00622045565021642
"ENSG00000100216",92.9104616962311,0.806384164987204,0.259280813595157,3.11008035575783,0.0018703645384226,0.006244939375511
"ENSG00000099998",17.8272611277571,-1.71695899940538,0.552543192431472,-3.10737517523269,0.00188756680333071,0.00626755607072794
"ENSG00000077942",71.7037477461421,0.955864800619372,0.30804713314674,3.10298229642683,0.00191581100429649,0.00632638688781423
"ENSG00000100413",127.071793732656,-0.715419534186163,0.23505030104399,-3.04368695129759,0.00233698185316599,0.00767500597679102
"ENSG00000211666",3.51702799193038,4.99636350620055,1.64523202962731,3.03687468771949,0.00239044810190914,0.00780793102851845
"ENSG00000184708",106.011047641339,-0.734240429862843,0.242130798947775,-3.03241236989934,0.00242607526607952,0.00788146613466915
"ENSG00000271275",4.16987295952027,-4.74188222211377,1.57501586595742,-3.01068854263971,0.00260656066566621,0.00842227397884621
"ENSG00000100239",201.64977866444,-0.605458852034926,0.201976172952467,-2.99767464243129,0.00272047936939209,0.00874335882890185
"ENSG00000133477",35.4403047466978,1.32654951674612,0.44349502702284,2.99112602378245,0.00277950758839411,0.00888555351396204
"ENSG00000270022",17.1147653590106,-2.67687543731842,0.895620932293551,-2.98884867559241,0.00280030784155908,0.00890468260728576
"ENSG00000128159",244.345639978494,-0.534779218583699,0.179717115464341,-2.97567216790662,0.00292347198220752,0.00924740348056167
"ENSG00000224271",16.3061759721597,1.80776141976327,0.609870339663049,2.96417336964124,0.00303497246440727,0.00954983482255901
"ENSG00000100258",101.392003238033,0.733285333203206,0.249263596900114,2.9418067552682,0.00326303482468207,0.0102139788001767
"ENSG00000128285",8.81571231131021,-2.58696505140055,0.880271116212544,-2.93882759953687,0.00329456276511523,0.0102592343100221
"ENSG00000100068",14.7615739770104,1.83027832214728,0.624660683070303,2.93003605277537,0.00338922678878469,0.0104996149487608
"ENSG00000169184",74.6982469054836,1.25952696033598,0.431737947017735,2.91734133873629,0.00353029203227695,0.0108805410840946
"ENSG00000100359",148.070795790222,-0.656338946067394,0.226729563569354,-2.89480972721331,0.00379388422533491,0.0116332878542157
"ENSG00000185721",124.316601440543,0.615678703911077,0.214460901657793,2.87082027144273,0.00409408228218998,0.0124900682822141
"ENSG00000273289",2.69050303172175,-5.14201479100487,1.80645958216779,-2.84645991627133,0.00442082944700005,0.0134187802911466
"ENSG00000215270",3.0995415771217,4.81414267395106,1.69762712590055,2.83580687449094,0.00457100776074794,0.0138049028352237
"ENSG00000100410",57.7262044092761,1.12407448692468,0.398406848094507,2.82142360830614,0.00478110230540383,0.0143672124277385
"ENSG00000183963",81.1217366454647,0.767116673682926,0.272564632276095,2.81443952312152,0.00488623705886285,0.014610091902371
"ENSG00000235111",5.76383562891552,3.72037029782055,1.32282979565296,2.81243309611433,0.00491682508666407,0.0146287716687382
"ENSG00000170638",67.3344920924029,0.804052044553961,0.286944667880242,2.8021153015101,0.00507687252638325,0.0150305437850066
"ENSG00000186716",305.487873107401,-0.66381256554619,0.237254604639916,-2.79789117919825,0.00514374393100117,0.015153873051626
"ENSG00000215513",54.9180234361415,1.1041675868134,0.395318118605851,2.79311150904849,0.00522036928916994,0.0153045948428836
"ENSG00000231010",7.62753951784751,-2.54883551748371,0.918667360524594,-2.77449229939793,0.00552879429541495,0.0161301231628368
"ENSG00000235159",10.2555454146801,-1.98613676064272,0.721224555129311,-2.75383962805678,0.00589006222687673,0.0171010985427677
"ENSG00000128253",4.83257506514193,-3.97277114884973,1.4455686451152,-2.74824108995054,0.00599159346207422,0.0173122484168587
"ENSG00000100228",28.4032151567953,-1.27264303150723,0.463466847586232,-2.74592031368639,0.00603414180587442,0.0173517666283757
"ENSG00000198355",83.5227067870198,0.695274326556493,0.2544237118456,2.73274185614597,0.00628095384840613,0.0179754917280576
"ENSG00000100324",90.579556483382,-0.972123134778885,0.357260732597535,-2.72104669245588,0.00650755689865388,0.0185357426355023
"ENSG00000215193",209.338375484191,-0.595012651700665,0.219236746399489,-2.714018801467,0.00664723934560378,0.0188442964467352
"ENSG00000133422",113.691392150246,0.811507529145108,0.300086263940551,2.70424750033168,0.00684592770519792,0.0193164439005819
"ENSG00000100084",125.481922848347,0.672370196072717,0.249325482932666,2.69675681829242,0.00700183826922221,0.0196640411205727
"ENSG00000212939",8.98495443663107,2.66302037556035,0.996430916431086,2.672558961838,0.00752751446214689,0.0210420287988385
"ENSG00000100218",3.81379679904869,-4.38362272365508,1.64968430424615,-2.65724945819755,0.00787811239543202,0.0219201182854382
"ENSG00000224086",15.1092887301333,-1.73880673361601,0.656879166141102,-2.64707243469266,0.00811919598172352,0.0224868054609025
"ENSG00000239282",10.5995706732342,-1.85500862079064,0.703218602932067,-2.63788331687499,0.00834252815987576,0.0229993551563547
"ENSG00000100276",8.56842448357426,-2.67796522458646,1.0286321569056,-2.6034235918139,0.00922978385277662,0.0253292241804509
"ENSG00000197077",139.730395943284,-0.536418292969977,0.206793457116773,-2.59398097236254,0.00948717372570319,0.0259172336779437
"ENSG00000100036",22.9214192113679,-1.24698546432691,0.481901756061773,-2.58763419855035,0.00966375445543964,0.0262801648313087
"ENSG00000100299",57.6038112186703,-0.833822021113269,0.32274769655845,-2.58351037049853,0.00978005268149939,0.0264766291062213
"ENSG00000075240",108.515232050781,0.623319069976135,0.241895439985086,2.57681198957105,0.00997161716677256,0.0268741790010328
"ENSG00000100139",89.5147056496817,0.677766132329591,0.265871642482427,2.54922309879057,0.0107963209327329,0.0289669146454128
"ENSG00000100344",16.983614720201,1.57881511912526,0.620027323924157,2.54636377818469,0.0108851686747256,0.0290754949933781
"ENSG00000196576",314.233698733473,-0.475662557698253,0.18838345651137,-2.52496990185305,0.0115708198687021,0.030770189119867
"ENSG00000184979",14.1239769385655,1.57400134907884,0.625954671750606,2.51456122961241,0.0119180605509452,0.0314744524820022
"ENSG00000183579",97.6760381624418,-0.606478854127355,0.241250084929425,-2.51390110102873,0.0119403912910092,0.0314744524820022
"ENSG00000138964",22.6780335635016,1.3563451906254,0.542608037641366,2.49967766146853,0.0124306352989297,0.0325616838054448
"ENSG00000099954",111.049115359517,-0.82879213215224,0.331675107515319,-2.49880715607807,0.0124612101085729,0.0325616838054448
"ENSG00000100271",22.4916559544284,-1.23704803703725,0.497059415575691,-2.48873273148746,0.012819929959286,0.0333540169070602
"ENSG00000100296",133.176233727511,0.53766781122548,0.216892985942411,2.47895435110216,0.0131768168926129,0.0341347713468119
"ENSG00000075275",33.3462959018576,1.28133070717957,0.517468980941543,2.47614978746779,0.0132807847140606,0.0342564446916326
"ENSG00000128274",15.1214647511129,1.79474159023764,0.726643538730115,2.46990648726353,0.0135148375939903,0.0347111854443938
"ENSG00000196236",103.160615804992,0.794756404001396,0.324896363253334,2.44618436489452,0.0144377151153197,0.0369236884438601
"ENSG00000227188",4.1138303574828,-3.15006350318508,1.2937053505447,-2.43491572625774,0.0148952583637367,0.0379324164262955
"ENSG00000100325",75.7503303834318,0.883976072848657,0.363290686256411,2.43324727632776,0.0149640775881034,0.037946880297258
"ENSG00000224883",2.01316812351914,-4.71377847805161,1.94319274220731,-2.42579049193913,0.0152750855630075,0.0385728000981828
"ENSG00000130638",215.470965622788,-0.524328741806349,0.216802437220114,-2.41846331862962,0.0155862169374266,0.0391937923823992
